Reference, Quantity, Value, Footprint, Datasheet, Do Not Install, Manufacturer, MFG P/N
C12 C30 ,2,156n,,,,,
C13 C31 ,2,62p,IPC_CAP:CAPC1608X90N,,,,
C14 ,1,1n3,IPC_CAP:CAPC1608X90N,,,,
C15 ,1,5n6,IPC_CAP:CAPC1608X90N,,,,
C16 C17 C18 C34 C35 C36 ,6,150u,IPC_CAP:CAPAE660X770,,,,
C1 C19 C2 C20 C21 C22 C23 C3 C4 C5 ,10,10u,IPC_CAP:CAPC1608X95N,,,,
C32 ,1,1n5,IPC_CAP:CAPC1608X90N,,,,
C33 ,1,6n2,IPC_CAP:CAPC1608X90N,,,,
C37 C38 C40 C41 ,4,100u,IPC_CAP:CAPAE840X650,,,,
C39 ,1,C,,,,,
C24 C6 ,2,4u7,,,,,
C10 C11 C25 C28 C29 C7 ,6,0u1,,,,,
C26 C8 ,2,2u2,,,,,
C27 C9 ,2,10n,,,,,
D1 D2 ,2,"PMEG3050EP,115",IPC_SOD:SOD4725X100,,,,
D3 D4 D5 ,3,LED,,,,,
F1 ,1,10A,,,,,
F2 F3 ,2,4A,,,,,
J12 J14 J16 J18 ,4,Header_1X3,,,,,
J17 ,1,Header_2X20,IPC_MFG:SULLINS_PPTC202LFBN-RC,,,,
J20 ,1,Header_1X4,,,,,
J3 J4 J8 J9 ,4,Header_1X4,IPC_MFG:MOLEX_22-23-2041,,,,
J1 J13 J15 J19 J2 J5 ,6,Header_1X2,,,,,
J10 J11 J6 J7 ,4,Header_2X3,IPC_MFG:TE_5-146254-3,,,,
L1 ,1,6u8,IPC_IND:INDM1213X620N,,,,
L2 ,1,8u2,IPC_IND:INDM1213X620N,,,,
Q1 Q2 Q3 Q4 Q5 Q6 Q7 ,7,STD86N3LH5,IPC_TO:TO228P972X240-3N,,,,
R10 ,1,510R,IPC_RES:RESC1608X55N,,,,
R12 ,1,1k37,IPC_RES:RESC1608X55N,,,,
R14 R34 R35 R36 ,4,178R,IPC_RES:RESC1608X55N,,,,
R15 ,1,330R,IPC_RES:RESC1608X55N,,,,
R16 R17 R18 R23 R24 R29 R30 R31 R32 R33 ,10,3k3,IPC_RES:RESC1608X55N,,,,
R2 ,1,2k5,IPC_RES:RESC1608X55N,,,,
R19 R20 R21 R22 R25 R26 R27 R28 ,8,100k,IPC_RES:RESC1608X55N,,,,
R3 ,1,499R,IPC_RES:RESC1608X55N,,,,
R11 R4 ,2,56k2,IPC_RES:RESC1608X55N,,,,
R5 ,1,2k21,IPC_RES:RESC1608X55N,,,,
R1 R13 R6 R8 ,4,10k,IPC_RES:RESC1608X55N,,,,
R7 ,1,196R,IPC_RES:RESC1608X55N,,,,
R9 ,1,1k,IPC_RES:RESC1608X55N,,,,
U1 U2 ,2,ISL6420B,IPC_SOP:SOP63P600X155-20N,,,,
U3 U4 U7 U8 ,4,TMC_SILENT_STEPSTICK,IPC_MFG:stepstick,,,,
U5 ,1,74AHC1G14,,,,,
U6 ,1,74LS32,,,,,
U9 ,1,MCP23S17,IPC_SOIC127P:SOIC127P1030X265-28N,,,,
